title,detail,cover_image,no_copies,in_stock,price,category_id,author_id,publisher_id
Pushover,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",https://robohash.org/etetqui.png?size=100x100&set=set1,18,18,58.86,12,91,85
Comet,Suspendisse potenti. In eleifend quam a odio.,https://robohash.org/verovoluptatequia.png?size=100x100&set=set1,4,4,2.15,12,24,93
"Love of Siam, The (Rak haeng Siam)","Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",https://robohash.org/utquiasunt.png?size=100x100&set=set1,24,24,48.73,12,80,17
Wadjda,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",https://robohash.org/corporismaioresbeatae.png?size=100x100&set=set1,99,99,26.14,8,45,86
Steppenwolf,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",https://robohash.org/reiciendisdelectusratione.png?size=100x100&set=set1,16,16,61.97,4,16,94
"Good Old Fashioned Orgy, A",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,https://robohash.org/sitetnam.png?size=100x100&set=set1,77,77,64.72,17,34,76
BURN-E,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,https://robohash.org/omnissedillo.png?size=100x100&set=set1,89,89,24.39,16,50,32
Vesku from Finland (Vesku),Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,https://robohash.org/autfacereet.png?size=100x100&set=set1,94,94,55.4,4,54,39
Run Ronnie Run,Donec semper sapien a libero. Nam dui.,https://robohash.org/accusamusiuresunt.png?size=100x100&set=set1,53,53,60.24,3,42,2
Vampyr,"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",https://robohash.org/errorautnon.png?size=100x100&set=set1,63,63,56.8,2,75,59
Revolver,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",https://robohash.org/dolorumnonquo.png?size=100x100&set=set1,16,16,47.89,17,34,38
Cyclomania,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",https://robohash.org/autsedvelit.png?size=100x100&set=set1,3,3,13.81,12,51,40
Cure,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,https://robohash.org/idrerumcum.png?size=100x100&set=set1,62,62,22.32,9,79,23
In a Town This Size,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",https://robohash.org/idminimaet.png?size=100x100&set=set1,18,18,38.8,4,96,59
Neverland,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,https://robohash.org/suscipitimpeditut.png?size=100x100&set=set1,3,3,16.8,3,2,67
The Nativity,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",https://robohash.org/recusandaeetatque.png?size=100x100&set=set1,35,35,4.96,7,4,67
"Great K & A Train Robbery, The","Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",https://robohash.org/excepturierrorvelit.png?size=100x100&set=set1,57,57,36.07,11,30,66
Mighty Joe Young,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",https://robohash.org/etdoloresatque.png?size=100x100&set=set1,57,57,23.54,10,41,38
"Hunting of the President, The","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",https://robohash.org/temporaaliasqui.png?size=100x100&set=set1,48,48,69.04,11,88,39
Hick,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,https://robohash.org/delenitienimquia.png?size=100x100&set=set1,90,90,40.2,2,79,53
Summer Lovers,Vivamus in felis eu sapien cursus vestibulum.,https://robohash.org/enimipsamincidunt.png?size=100x100&set=set1,17,17,68.48,16,62,50
"Rumble in Hong Kong (Nu jing cha) (Heroine, The)",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,https://robohash.org/solutacorruptinam.png?size=100x100&set=set1,3,3,12.1,9,30,93
Peking Opera Blues (Do ma daan),"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",https://robohash.org/molestiaenostrumvoluptate.png?size=100x100&set=set1,14,14,27.92,14,40,94
Mercenary for Justice,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",https://robohash.org/etvelqui.png?size=100x100&set=set1,43,43,3.87,10,75,29
Jesse Stone: No Remorse,"Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",https://robohash.org/utfugiatomnis.png?size=100x100&set=set1,23,23,10.29,6,39,21
East Palace West Palace (Dong gong xi gong),"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",https://robohash.org/advoluptatibusiste.png?size=100x100&set=set1,49,49,4.72,2,27,50
Welcome to Sarajevo,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",https://robohash.org/adipiscisitquaerat.png?size=100x100&set=set1,73,73,46.13,10,100,21
