name,country,founded_year
Zoombeat,Mexico,1955
Photolist,Malaysia,1957
Mycat,China,1971
Aimbu,China,1941
Agimba,Japan,1910
Trudoo,Sri Lanka,1965
Jabbercube,Indonesia,1976
Flipstorm,Bulgaria,1914
Flipbug,Indonesia,1975
Miboo,France,1910
Topdrive,Spain,1975
Quatz,Palestinian Territory,2002
Blognation,China,1905
Topicware,Philippines,1953
Thoughtstorm,Australia,1990
Realfire,Afghanistan,1947
Zoonder,Poland,1906
Flipopia,Argentina,1975
Dabtype,Czech Republic,2021
Topicblab,Norway,1974
Gigabox,Portugal,1912
Rhycero,Portugal,1966
Jabberstorm,Armenia,1978
Gigazoom,Indonesia,1990
Edgeclub,Philippines,1922
Yacero,China,1966
Kwinu,Brazil,1937
Skaboo,Indonesia,1980
Devify,Brazil,1909
Oodoo,Indonesia,1930
Quimba,Honduras,1901
Zoomzone,Bosnia and Herzegovina,1999
Brainverse,France,1978
Voolith,China,1956
Mymm,Ukraine,1930
Devshare,Morocco,2009
Yodel,Niger,1935
Kayveo,Indonesia,2013
Riffpedia,Niger,1900
Cogidoo,Peru,1982
Realpoint,China,1920
Thoughtstorm,China,1988
Yodoo,China,2002
Mymm,China,2010
Wikizz,Indonesia,1902
Devpulse,Canada,1925
Yotz,Greece,1956
Livetube,China,2016
Edgeclub,Nigeria,1909
Brightbean,Ukraine,2011
Twitterbeat,China,1967
Twitterbridge,China,1945
Shuffletag,Indonesia,1928
Skimia,China,2014
Yabox,China,2002
Tagtune,Indonesia,1937
Cogibox,Netherlands,1909
Voolia,China,1970
Blogtags,Japan,2005
Buzzbean,Croatia,1916
Gabvine,Palestinian Territory,1933
Vidoo,Pakistan,1999
Feedbug,New Zealand,2005
Jayo,China,1915
Gigashots,Palestinian Territory,1932
Muxo,Poland,1911
Mynte,Greece,2015
Flashdog,Philippines,1942
Fliptune,Morocco,1989
Vinte,Tajikistan,1990
Zoomzone,Philippines,1977
Zoozzy,Argentina,1933
Gigabox,China,1960
Digitube,Rwanda,1946
Buzzshare,Aland Islands,1945
Twiyo,Greece,1994
Oozz,Indonesia,1925
Plajo,Philippines,2010
Edgewire,Indonesia,2001
Tanoodle,Indonesia,1906
Meedoo,Indonesia,1988
Eimbee,Finland,1922
Topicshots,Macedonia,1973
Edgetag,Serbia,1941
Thoughtbridge,Indonesia,1990
Topicware,Poland,1947
Mudo,Philippines,1920
Meevee,United States,1904
Voonyx,Peru,1997
Zoombox,Greece,1938
Muxo,Indonesia,1915
Twitterlist,France,2020
Skipfire,Indonesia,1998
Zoombox,Poland,1946
Devshare,France,2017
Twimm,Italy,1913
Voolith,Poland,2022
Jetpulse,Malaysia,2008
Gigashots,Colombia,1957
Twitternation,Philippines,1933
